base,market_cap_usd
BTC,1814765128145.0
ETH,376873650031.0
USDT,186712856069.0
XRP,126872444315.0
BNB,124774044336.0
SOL,78709036031.0
USDC,74643078155.0
TRX,28465920530.0
STETH,27820448038.0
DOGE,23308735180.0
FIGR_HELOC,14515347917.0
ADA,14453982435.0
BCH,13148859890.0
WSTETH,12486805435.0
WBT,11817972640.0
WBETH,11418960535.0
WBTC,11324254072.0
WEETH,9978866217.0
USDS,9781602197.0
LINK,9417982117.0
XMR,9244342255.0
BSC-USD,8970908430.0
LEO,8342248547.0
WETH,7950307436.0
XLM,7341997783.0
CBBTC,6922909494.0
SUI,6870158884.0
ZEC,6397159912.0
USDE,6341576480.0
LTC,6179557668.0
AVAX,5987749749.0
HYPE,5853584277.0
CC,5363697531.0
HBAR,5077723517.0
SHIB,5058082849.0
USDT0,4719642331.0
WLFI,4611554403.0
SUSDS,4548855051.0
TON,4254423956.0
DAI,4248730786.0
CRO,3912340534.0
SUSDE,3697879615.0
PYUSD,3681380669.0
UNI,3489785203.0
DOT,3468421517.0
USD1,3432697644.0
MNT,3209022690.0
RAIN,3027016022.0
M,2894884194.0
TAO,2784945771.0
AAVE,2570357394.0
PEPE,2486673833.0
BGB,2454811095.0
OKB,2340474128.0
XAUT,2340191142.0
NEAR,2212068012.0
USDF,2161551149.0
JITOSOL,2024371200.0
ETC,1943768793.0
ENA,1856981911.0
POL,1795899750.0
PI,1749447372.0
ICP,1744523933.0
BUIDL,1732323793.0
PAXG,1721941117.0
ASTER,1712762619.0
JLP,1591248080.0
HTX,1584825971.0
WLD,1568288832.0
BNSOL,1540359177.0
USYC,1534235568.0
USDG,1533415969.0
PUMP,1480198451.0
KCS,1441641578.0
SYRUPUSDC,1403902352.0
RLUSD,1384909392.0
APT,1358659536.0
RENDER,1355721946.0
SKY,1339642164.0
WBNB,1320963918.0
BFUSD,1317940143.0
RETH,1296295782.0
KAS,1289937901.0
ATOM,1274748110.0
HASH,1272832835.0
ONDO,1267025838.0
NIGHT,1191667526.0
GT,1187645957.0
ARB,1187595373.0
ALGO,1183009382.0
RSETH,1139609105.0
FIL,1107232802.0
TRUMP,1101756358.0
QNT,1098312870.0
