symbol,liquidity,market_cap_usd
PEPE/USDT,31143.402685643996,2486673833.0
PUMP/USDT,25936.448311,1480198451.0
SUI/USDT,20552.77784488,6870158884.0
POL/USDT,19914.177568,1795899750.0
IP/USDT,17851.3914425,756688934.0
RENDER/USDT,13515.434753499998,1355721946.0
ZEC/USDT,12620.2446854,6397159912.0
PENGU/USDT,12449.2439195,762767834.0
LTC/USDT,9599.55151093,6179557668.0
BREV/USDT,8619.512758,89874735.0
FIL/USDT,8556.6588166315,1107232802.0
HYPE/USDT,7940.090635299999,5853584277.0
XPL/USDT,7744.013537000001,350223315.0
OKB/USDT,6921.1385675050005,2340474128.0
AVAX/USDT,6043.569637525,5987749749.0
TRUMP/USDT,6003.4714676,1101756358.0
CHZ/USDT,5381.9559136115,508178896.0
TON/USDT,4965.2125871,4254423956.0
VIRTUAL/USDT,4730.8739933,709424441.0
LINK/USDT,4587.907976132,9417982117.0
SNX/USDT,4557.4031521896,163941352.0
BONK/USDT,4465.7923283255,930495088.0
NIGHT/USDT,4403.48377935,1191667526.0
HBAR/USDT,3837.494076975985,5077723517.0
ASTER/USDT,3820.9760045499997,1712762619.0
WIF/USDT,3786.4402183,380331481.0
PI/USDT,3425.58075,1749447372.0
SHIB/USDT,3235.540170327,5058082849.0
WLFI/USDT,3228.6411665000005,4611554403.0
UNI/USDT,3113.9946737375,3489785203.0
ONDO/USDT,2784.9421539,1267025838.0
DOT/USDT,2695.7674216845003,3468421517.0
MERL/USDT,2615.605630645,266415763.0
XLM/USDT,2601.3778559260604,7341997783.0
NEAR/USDT,2557.60729369807,2212068012.0
WLD/USDT,2427.5962249000004,1568288832.0
ICP/USDT,2298.4159755405,1744523933.0
EIGEN/USDT,2208.4032557499995,221025935.0
LINEA/USDT,2139.2323690000003,115439774.0
AAVE/USDT,2066.3413002,2570357394.0
XAUT/USDT,2026.8990266,2340191142.0
APT/USDT,2018.3560301499997,1358659536.0
FET/USDT,1882.2430299,676596100.0
API3/USDT,1684.39464265515,66935903.0
ZEN/USDT,1644.4665594000003,159220128.0
ATOM/USDT,1628.9568406435,1274748110.0
KAITO/USDT,1612.1514965000001,141272454.0
ARB/USDT,1534.6708757400002,1187595373.0
OP/USDT,1378.7803638,625794018.0
SAHARA/USDT,1345.28154,73932292.0
ACH/USDT,1273.07057837,55462208.0
CRV/USDT,1210.6585047691,595601298.0
W/USDT,1132.9585764115,196173970.0
GMT/USDT,1012.686612757,62697520.0
MEW/USDT,939.49493095,90781901.0
LUNA/USDT,933.5787249825,62059970.0
PYTH/USDT,896.19975204,392619996.0
STRK/USDT,863.1611746970001,415297135.0
STX/USDT,825.4869701749999,705042047.0
ORDI/USDT,788.2162706000001,93780249.0
DAI/USDT,786.1410172987501,4248730786.0
MET/USDT,782.1885078,130252931.0
ENA/USDT,767.8381845,1856981911.0
BIO/USDT,766.54444279,77513918.0
ATH/USDT,760.0769868,163272350.0
CORE/USDT,750.785138,127006457.0
ETC/USDT,719.0892234999999,1943768793.0
TIA/USDT,716.102499155,482117415.0
ZBCN/USDT,715.1350864,281965189.0
JTO/USDT,703.39871277,191780047.0
ETHFI/USDT,702.651150235,493834814.0
MOODENG/USDT,699.6731605499999,80351011.0
PEOPLE/USDT,657.9911494484315,51824057.0
WOO/USDT,609.5935251922,54398519.0
ZK/USDT,608.9446813999999,295940886.0
DYDX/USDT,596.5814641033,167773948.0
CTC/USDT,574.6205174903,148220094.0
HUMA/USDT,573.3134905,45719144.0
CELO/USDT,541.9383826057999,74947478.0
AVNT/USDT,537.16364935,82752555.0
ZETA/USDT,531.706409385,95752444.0
RAY/USDT,515.0348174872,323719940.0
MOVE/USDT,493.61207049999996,98042979.0
ZRO/USDT,490.65126499999997,302943410.0
PNUT/USDT,456.46407374999995,85018529.0
BOME/USDT,444.9591265,48278167.0
INJ/USDT,429.3847076,528024203.0
CFX/USDT,421.03835084244497,395851451.0
XCH/USDT,407.78132301299996,78612849.0
GALA/USDT,406.16878073611804,336310647.0
SAFE/USDT,386.483609,107919904.0
S/USDT,380.677766735,324445755.0
NEIRO/USDT,374.921554,56423465.0
AR/USDT,369.26487145399994,247609950.0
ZIL/USDT,368.61858537747196,103952090.0
DOOD/USDT,352.48956575,44054581.0
EGLD/USDT,345.79232012750003,185934106.0
LPT/USDT,318.829626644,154192185.0
XTZ/USDT,307.2343290771,620760293.0
MEME/USDT,298.727,69021121.0
ONT/USDT,291.757342249025,60421611.0
SEI/USDT,287.6683765,789115046.0
VELO/USDT,280.32602019118747,122240606.0
PENDLE/USDT,272.26878899999997,364672081.0
JUP/USDT,270.80728469999997,689713939.0
SPK/USDT,256.264365,54806076.0
CRO/USDT,253.73102642123501,3912340534.0
SKY/USDT,246.99549399999998,1339642164.0
IOTA/USDT,240.86689384305998,419737465.0
LDO/USDT,228.93793516,543349938.0
KITE/USDT,219.97497575,164554449.0
YGG/USDT,200.41654789287503,47158417.0
MMT/USDT,191.90835900000002,51580013.0
A/USDT,180.0259545,282339678.0
TURBO/USDT,172.116361515,133175309.0
MINA/USDT,167.67656664236,106619480.0
FLOKI/USDT,150.41730656,502516775.0
IMX/USDT,143.225019516,227221507.0
THETA/USDT,137.6732520306,300228492.0
TOSHI/USDT,136.7193573,144490928.0
ALGO/USDT,133.9800375005,1183009382.0
1INCH/USDT,130.42509646234998,217864762.0
FLR/USDT,129.3967443,926935084.0
APE/USDT,120.50555965619999,192065414.0
NOT/USDT,108.57012756000002,59247940.0
BARD/USDT,104.574923,179129168.0
BABYDOGE/USDT,100.471787621692,123640852.0
